"drug";"Иммуномодулирующий препарат";"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций"
"drug";"Иммуномодулирующий препарат";"МАКСИДИН 0,15 (MAXIDIN 0,15)"
"drug";"Комбинированный противомикробный препарат";"АУРИЗОН (AURIZON®) суспензия"
"drug";"Антибактериальный препарат";"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций"
"drug";"Седативный препарат";"СИЛЕО® (SILEO®)"
"drug";"Антиседативный препарат";"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций"
"drug";"Седативный препарат";"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг"
"drug";"Седативный препарат";"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг"
"drug";"Препарат с бактерицидным действием";"МЕТРИЦЕФ (METRICEFUM) суспензия"
"drug";"Комплексный антибактериальный препарат";"ЭРИПРИМ БТ (ERIPRIMUM BT)"
"drug";"Полусинтетический антибиотик широкого спектра действия";"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций"
"drug";"Препарат с антимикробной активностью";"МАСТИМАКС (MASTIMAX)"
"drug";"Препарат с протеолитическими ферментами";"МАСТИЗИМ (MASTIZINUM)"
"drug";"Препарат с антимикробной активностью";"БЕНСТРЕП (BENSTREP) сусп. д/инъекций"
"drug";"НПВС";"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций"
"drug";"Препарат с бактерицидным действием";"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций"
"drug";"Комплекс витаминов";"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций"
"drug";"Комплексный антибактериальный препарат";"ОФЛОСТИН (OFLOSTINUM)"
"drug";"Дезинфицирующее средство";"КЕНОСЕПТ-Г (KENOSEPT-G)"
"drug";"Моющее средство";"ТОРНАКС-С (TORNAX-S)"
"drug";"Моющее средство";"ЭКО-ДЕЗ (ECO-DES)"
"drug";"Дезинфицирующее средство";"ВИРОЦИД (VIROCID)"
"drug";"Комбинированный противогельминтный препарат";"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 4+10 мг"
"drug";"Комбинированный противогельминтный препарат";"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 16+40 мг"
"drug";"Комбинированный противогельминтный препарат";"МИЛЬБЕМАКС® (MILBEMAX®) для собак 2.5+25 мг"
"drug";"Комбинированный противогельминтный препарат";"МИЛЬБЕМАКС® (MILBEMAX®) для собак 12.5+125 мг"
"drug";"Селективный иммунодепрессант";"АТОПИКА® (ATOPICA®) капсулы 10 мг"
"drug";"Селективный иммунодепрессант";"АТОПИКА® (ATOPICA®) капсулы 25 мг"
"drug";"Селективный иммунодепрессант";"АТОПИКА® (ATOPICA®) капсулы 50 мг"
"drug";"Селективный иммунодепрессант";"АТОПИКА® (ATOPICA®) капсулы 100 мг"
"drug";"Комбинированный инсектоакарицидный препарат";"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 90 мг, 100 мг"
"drug";"Противопаразитарный препарат";"ИВЕРМЕК OR (IVERMEK OR)"
"drug";"Антибактериальный препарат";"ЛЕКСОФЛОН® OR (LEXOFLON® OR)"
"drug";"Инсектицидный препарат";"ЦИФЛУНИТ® ФЛОК (CYFLUNIT FLOCK) раствор д/наружного применения"
"drug";"Противогельминтный препарат";"РИКАЗОЛ® (RICAZOL) раствор д/инъекций"
"drug";"Антибактериальный препарат";"ЦЕФТОНИТ® ФОРТЕ (CEFTONIT FORTE) сусп. д/инъекций"
"drug";"Комбинированный антибактериальный препарат";"НИТОКС® ФОРТЕ (NITOX® FORTE) раствор д/инъекций"
"drug";"Противопаразитарный препарат";"МЕРАДОК (MERADOK) раствор д/инъекций"
"drug";"Комбинированный инсектоакарицидный препарат";"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 100 мг, 120 мг"
"drug";"Гигиеническое средство";"ОТИФРИ (OTIFREE)"
"drug";"Комбинированный антибактериальный препарат";"ЭНРОНИТ® OR (ENRONIT® OR)"
"drug";"Комбинированный антибактериальный препарат";"ЭНРОНИТ® (ENRONIT) раствор д/инъекций"
"drug";"Инсектоакарицидный препарат";"ЦИФЛУНИТ-ON (CYFLUNIT-ON) раствор"
"drug";"Инсектицидный препарат";"ЦИФЛУНИТ® (CYFLUNIT) раствор д/наружного применения"
"drug";"Антибактериальный препарат";"ЦЕФТОНИТ® (CEFTONIT) сусп. д/инъекций"
"drug";"НПВС";"ФЛУНЕКС (FLUNEX) раствор д/инъекций"
"drug";"Антибактериальный препарат";"ФЛОРОКС® (FLOROX) раствор д/инъекций"
"drug";"Неселективный бета-адреноблокатор";"УТЕРОТОН® (UTEROTON) раствор д/инъекций"
"drug";"Кормовая добавка";"СТРОЛИТИН® (STROLITINE) раствор"
"drug";"Антимикробный препарат";"СЕПРАНОЛ (SEPRANOL)"
"drug";"Антибактериальный препарат";"НИТОКС® 200 (NITOX® 200) раствор д/инъекций"
"drug";"Комбинированный противопротозойный препарат";"НЕОЗИДИН М (NEOZIDIN М) раствор д/инъекций"
"drug";"Комбинированный антибактериальный препарат";"МАСТОМИЦИН® (MASTOMICIN)"
"drug";"Противопаразитарный препарат";"КЛОЗАТРЕМ® (CLOZATREM) раствор д/инъекций"
"drug";"Инсектоакарицидный препарат";"ИВЕРМЕК®-ON (IVERMEK®-ON) раствор"
"drug";"Антибактериальный препарат";"ДОКСИЛОКС OR (DOXYLOX OR)"
"drug";"Комбинированный антибактериальный препарат";"ДИТРИМ® (DITRIM®) раствор д/инъекций"
"drug";"Комплексный общеукрепляющий препарат";"БУТОФАН® (BUTOFAN) раствор д/инъекций"
"drug";"Антибактериальный препарат";"АМОКСИЦИЛЛИН 150 (AMOXYCILLIN 150) сусп. д/инъекций"
"drug";"Гормональный препарат";"ПРОГЕСТАМАГ® (PROGESTAMAG) сусп. д/инъекций"
"drug";"Комбинированный препарат с противовирусным действием";"ЭНДОМЕТРАМАГ-ГРИН® (ENDOMETRAMAG-GREEN)"
"drug";"Препарат для лечения заболеваний ЖКТ";"СТАРТИН-ФИТО (STARTINUM-FITO)"
"drug";"Препарат для лечения заболеваний кожи";"ПИХТОИН® (PICHTOINUM) мазь д/наружного применения"
"drug";"Противовоспалительный препарат";"МАЗЬ ЯХАЛИМП (UNGUENTUM YAHALIMPUM) мазь д/наружного применения"
"drug";"Препарат для лечения заболеваний кожи";"МАЗЬ ЭКЗЕКОНТ (UNGUENTUM ECZECONTUM) мазь д/наружного применения"
"drug";"Препарат для лечения заболеваний кожи";"МАЗЬ ""ЯМ БК""® (UNGUENTUM ""YAM BK"") мазь д/наружного применения"
"drug";"Препарат для лечения заболеваний ЖКТ";"ЛЕРСИН® (LERSINUM) порошок"
"drug";"Инсектоакарицидный препарат";"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 2.5%"
"drug";"Инсектоакарицидный препарат";"КРЕОЛИН-Х (KREOLIN-X) раствор д/наружного применения 5%"
"drug";"Антисептик";"КАСЕПТУРИН (KASEPTURINUM) раствор д/наружного применения"
"drug";"Антисептик";"ЙОДТРИЭТИЛЕНГЛИКОЛЬ (ИТЭГ)-А (IODTRIETHYLENGLICOLUM (ITEG)- A)"
"drug";"Препарат для лечения респираторных заболеваний";"ЙОДИНОКОЛЬ (IODINOKOLUM)"
"drug";"Антисептический препарат";"ЙОД ОДНОХЛОРИСТЫЙ (IODUM MONOCHLORATUM) раствор д/наружного применения"
"drug";"Инсектоакарицидный препарат";"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 2.5%"
"drug";"Инсектоакарицидный препарат";"БИОРЕКС-ГХ (BIOREX-GH) раствор д/наружного применения 5%"
"drug";"Кормовая добавка";"БУТОФАН® OR (BUTOFAN OR) раствор"
"drug";"Комбинированный антибактериальный препарат";"АМОКСИГАРД (AMOXYGARD) сусп. д/инъекций"
"drug";"Антибактериальный препарат";"АЗИТРОНИТ® (AZITHRONIT) раствор д/инъекций"
"drug";"Противогельминтный препарат";"АЛЬВЕТ®-СУСПЕНЗИЯ (ALVET-SUSPENSION)"
"drug";"НПВС";"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 8 мг"
"drug";"НПВС";"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 30 мг"
"drug";"НПВС";"ЦИМАЛДЖЕКС (CIMALGEX®) таб. 80 мг"
"drug";"Симпатомиметик";"ПРОПАЛИН (PROPALIN®) раствор д/перорального применения"
"drug";"Кормовая добавка";"ИПАКИТИНЕ (IPAKITINE)"
"drug";"Комбинированный лекарственный препарат для аурикулярного применения.";"ОРИДЭРМИЛ (ORIDERMYL®)"
"drug";"Антисептический препарат";"АЛЮСПРЕЙ (ALUSPRAY®) аэрозоль д/наружн.прим."
"drug";"Тканевый препарат";"АСД фракция 3 (ASD( )fraction 3)"
"vaccine";"Профилактическая вакцина";"СУВАКЦИН PCV MH (SUVAXYN PCV MH) сусп. д/инъекций"
"vaccine";"Профилактическая вакцина";"СУВАКЦИН PCV2 (SUVAXYN PCV2) сусп. д/инъекций"
"vaccine";"Вакцина против колибактериоза";"ПУЛВАК E. coli (POULVAC E. coli)"
"vaccine";"Вакцина против инфекционной бурсальной болезни";"ПУЛВАК БУРСА F (POULVAC BURSA F) лиофилизат д/пригот. р-ра д/приема внутрь"
"vaccine";"Вакцина против инфекционного бронхита";"ПУЛВАК IB QX (POULVAC IB QX)"
"drug";"Антибактериальный препарат";"ДРАКСИН (DRAXXIN) раствор д/инъекций: 25 мг"
"drug";"Селективный ингибитор янус-киназы (JAK)";"АПОКВЕЛ (APOQUEL) 3.6 мг"
"drug";"Селективный ингибитор янус-киназы (JAK)";"АПОКВЕЛ (APOQUEL) 5.4 мг"
"drug";"Селективный ингибитор янус-киназы (JAK)";"АПОКВЕЛ (APOQUEL) 16 мг"
"drug";"Антибактериальный препарат";"ЭНРОКСИЛ® ТАБЛЕТКИ СО ВКУСОМ МЯСА (ENROXIL® TABLETS WITH MEAT FLAVOUR) таб. 15 мг"
