"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"МАКСИДИН 0,15 (MAXIDIN 0,15)";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"АУРИЗОН (AURIZON®) суспензия";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"СИЛЕО® (SILEO®)";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"МЕТРИЦЕФ (METRICEFUM) суспензия";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"ЭРИПРИМ БТ (ERIPRIMUM BT)";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"МАСТИМАКС (MASTIMAX)";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"МАСТИЗИМ (MASTIZINUM)";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"БЕНСТРЕП (BENSTREP) сусп. д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций";"Описание препарата основано на официально утвержденной инструкции по применению и утверждено компанией-производителем для издания 2017 г."
