"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"натрия хлорид, моноэтаноламин, вода д/и."
"МАКСИДИН 0,15 (MAXIDIN 0,15)";"натрия хлорид, моноэтаноламин, вода д/и."
"АУРИЗОН (AURIZON®) суспензия";"пропилгаллат, сорбитана моноолеат, кремния диоксид коллоидный, триглицериды среднецепочные."
"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций";"хлористоводородная кислота (соляная кислота), вода д/и."
"СИЛЕО® (SILEO®)";"пропиленгликоль, гидроксипропилцеллюлоза, натрия лаурилсульфат, бриллиантовый голубой, натрия гидроксид, хлористоводородная кислота (соляная кислота), вода очищенная."
"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций";"натрия хлорид, метилпарагидроксибензоат, вода д/и."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг";"метилпарагидроксибензоат, пропилпарагидроксибензоат, натрия хлорид, вода д/и."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг";"метилпарагидроксибензоат, пропилпарагидроксибензоат, натрия хлорид, вода д/и."
"МЕТРИЦЕФ (METRICEFUM) суспензия";"вспомогательные вещества, основа."
"ЭРИПРИМ БТ (ERIPRIMUM BT)";"наполнитель."
"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций";"вспомогательные вещества, растворитель."
"МАСТИМАКС (MASTIMAX)";"вспомогательные вещества, консервант, масляная основа."
"МАСТИЗИМ (MASTIZINUM)";"вспомогательные вещества, основа."
"БЕНСТРЕП (BENSTREP) сусп. д/инъекций";"вспомогательные вещества, наполнитель."
"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций";"вспомогательные вещества, растворитель."
"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций";"консервант, растворитель."
"ОФЛОСТИН (OFLOSTINUM)";"вспомогательные вещества, растворитель."
"КЕНОСЕПТ-Г (KENOSEPT-G)";"глицерин, краситель."
"ТОРНАКС-С (TORNAX-S)";"диспергирующие и комплексообразующие добавки, ингибиторы коррозии."
"ВИРОЦИД (VIROCID)";"растворитель АД-50 ВР (дистиллированная вода, оксиэтилированный спирт и этилендиаминтетрауксусная кислота)."
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 4+10 мг";"целлюлоза микрокристаллическая, натрия кармеллоза, повидон, лактоза, кремний коллоидный, магния стеарат, гипромеллоза, макрогол, тальк, пищевая добавка со вкусом говядины ""Artificial beef flavour""."
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 16+40 мг";"целлюлоза микрокристаллическая, натрия кармеллоза, повидон, лактоза, кремний коллоидный, магния стеарат, гипромеллоза, макрогол, тальк, ароматизатор пищевая добавка со вкусом говядины ""Artificial beef flavour"", железа оксид (краситель)."
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 2.5+25 мг";"целлюлоза микрокристаллическая, натрия кроскармеллоза, повидон, лактозы моногидрат, кремний коллоидный, магния стеарат."
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 12.5+125 мг";"целлюлоза микрокристаллическая, натрия кроскармеллоза, повидон, лактозы моногидрат, кремний коллоидный, магния стеарат."
"АТОПИКА® (ATOPICA®) капсулы 10 мг";"моно-, ди-, триглицериды кукурузного масла, этанол безводный (E1510), желатин (E441), глицерол 85% (E442), макрогола глицерина гидроксистеарат, пропиленгликоль (E1520), титана диоксид (E171), карминовая кислота (E120), α-токоферол (E307)."
"АТОПИКА® (ATOPICA®) капсулы 25 мг";"моно-, ди-, триглицериды кукурузного масла, этанол безводный (E1510), желатин (E441), глицерол 85% (E442), макрогола глицерина гидроксистеарат, пропиленгликоль (E1520), титана диоксид (E171), карминовая кислота (E120), краситель железа оксид черный, α-токоферол (E307)."
"АТОПИКА® (ATOPICA®) капсулы 50 мг";"моно-, ди-, триглицериды кукурузного масла, этанол безводный (E1510), желатин (E441), глицерол 85% (E442), макрогола глицерина гидроксистеарат, пропиленгликоль (E1520), титана диоксид (E171), карминовая кислота (E120), α-токоферол (E307)."
"АТОПИКА® (ATOPICA®) капсулы 100 мг";"моно-, ди-, триглицериды кукурузного масла, этанол безводный (E1510), желатин (E441), глицерол 85% (E442), макрогола глицерина гидроксистеарат, пропиленгликоль (E1520), титана диоксид (E171), карминовая кислота (E120), краситель железа оксид черный, α-токоферол (E307)."
"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 90 мг, 100 мг";"повидон K25, полисорбат 80, бутилгидроксианизол (E320), бутилгидрокситолуол (E321), этанол 96%, моноэтиловый эфир диэтиленгликоля - достаточное количество до 1 мл."
"ИВЕРМЕК OR (IVERMEK OR)";"диметилацетамид - 400 мг, полиэтиленгликоль-660-гидроксистеарат - 150 мг, бензиловый спирт - 10 мг, вода д/и - до 1 мл."
"ЛЕКСОФЛОН® OR (LEXOFLON® OR)";"хлористоводородная кислота (соляная кислота), ароматизатор ""Вишня 667"", вода очищенная."
"ЦИФЛУНИТ® ФЛОК (CYFLUNIT FLOCK) раствор д/наружного применения";"2-октилдодеканол, сольвессо 150, парафин жидкий - до 1 мл."
"РИКАЗОЛ® (RICAZOL) раствор д/инъекций";"диэтиленгликоля моноэтиловый эфир, пропиленгликоль - до 1 мл."
"ЦЕФТОНИТ® ФОРТЕ (CEFTONIT FORTE) сусп. д/инъекций";"пропиленгликоля дикаприлат/дикапрат - до 1 мл."
"НИТОКС® ФОРТЕ (NITOX® FORTE) раствор д/инъекций";"магния оксид (пролонгатор) - 20 мг, ронгалит (формальдегид сульфоксилат натрия) - 6 мг, N-метилпирролидон - до 1 мл."
"МЕРАДОК (MERADOK) раствор д/инъекций";"бензиловый спирт - 10 мг, бутилгидрокситолуол - 10 мг, масло кокосовое фракционированное (пропиленгликоля дикаприлат/дикапрат) - до 1 мл."
"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 100 мг, 120 мг";"повидон K25, полисорбат 80, бутилгидроксианизол (E320), бутилгидрокситолуол (E321), этанол 96%, моноэтиловый эфир диэтиленгликоля - достаточное количество до 1 мл."
"ОТИФРИ (OTIFREE)";"вода."
"ЭНРОНИТ® OR (ENRONIT® OR)";"натрия метабисульфит, уксусная кислота, вода дистиллированная."
"ЭНРОНИТ® (ENRONIT) раствор д/инъекций";"уксусная кислота - 55 мг, аммония ацетат - 1.3 мг, вода д/и - до 1 мл."
"ЦИФЛУНИТ-ON (CYFLUNIT-ON) раствор";"стабилизатор и растворители - до 100%."
"ЦИФЛУНИТ® (CYFLUNIT) раствор д/наружного применения";"сольвессо 200, 2-октилдодеканол, парафин жидкий."
"ЦЕФТОНИТ® (CEFTONIT) сусп. д/инъекций";"бутилгидрокситолуол, спирт бензиловый, алюминия моностеарат, масло подсолнечное или оливковое."
"ФЛУНЕКС (FLUNEX) раствор д/инъекций";"натрия салицилат, натрия гидроксид, вода д/и."
"ФЛОРОКС® (FLOROX) раствор д/инъекций";"пропиленгликоль 400 - 300 мг, диметилсульфоксид - 150 мг, полиэтиленгликоль - до 1 мл."
"УТЕРОТОН® (UTEROTON) раствор д/инъекций";"натрия метабисульфит, хлорэтон, лимонная кислота (для коррекции рН), вода дистиллированная."
"СТРОЛИТИН® (STROLITINE) раствор";"магния сульфат - 250 мг, сорбитол - 250 мг, вода дистиллированная - до 1 мл."
"СЕПРАНОЛ (SEPRANOL)";"кальция стеарат - 0.1 г, натрия карбонат - 3 г, лимонная кислота - 3 г, полиэтиленгликоль - 0.1 г, маннит - 2 г, поливинилпирролидон - 0.12 г, краситель (метиловый оранжевый) - 0.01 г, лактоза - до 10 г."
"НИТОКС® 200 (NITOX® 200) раствор д/инъекций";"магния оксид, N,N-диметилацетамид, ронгалит (формальдегидсульфоксилат натрия), моноэтаноламин, вода дистиллированная."
"НЕОЗИДИН М (NEOZIDIN М) раствор д/инъекций";"N,N-диметилацетамид - 575 мг, бензиловый спирт - 11.5 мг, бензойная кислота - 16.1 мг, натрия гидроксид - до pH 6.5, вода дистиллированная - до 1 мл."
"МАСТОМИЦИН® (MASTOMICIN)";"полоксамер 407, полиоксиэтилен-35-рицинол, глицерол, бензиловый спирт, вода дистиллированная."
