"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"Раствор для инъекций"
"МАКСИДИН 0,15 (MAXIDIN 0,15)";"Капли глазные и интраназальные"
"АУРИЗОН (AURIZON®) суспензия";"Суспензия для аурикулярного применения"
"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций";"Раствор для инъекций"
"СИЛЕО® (SILEO®)";"Гель для введения через слизистую оболочку ротовой полости"
"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций";"Раствор для инъекций"
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг";"Раствор для инъекций"
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг";"Раствор для инъекций"
"МЕТРИЦЕФ (METRICEFUM) суспензия";"Суспензия для внутриматочного введения"
"ЭРИПРИМ БТ (ERIPRIMUM BT)";"Порошок для орального применения"
"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций";"Раствор для инъекций"
"МАСТИМАКС (MASTIMAX)";"Суспензия для интрацистернального введения"
"МАСТИЗИМ (MASTIZINUM)";"Суспензия для интрацистернального введения"
"БЕНСТРЕП (BENSTREP) сусп. д/инъекций";"Суспензия для инъекций"
"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций";"Раствор для инъекций"
"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций";"Раствор для инъекций"
"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций";"Раствор для инъекций"
"ОФЛОСТИН (OFLOSTINUM)";"Раствор для орального применения"
"КЕНОСЕПТ-Г (KENOSEPT-G)";"Средство дезинфицирующее"
"ТОРНАКС-С (TORNAX-S)";"Средство чистящее"
"ЭКО-ДЕЗ (ECO-DES)";"Средство дезинфицирующее"
"ВИРОЦИД (VIROCID)";"Средство дезинфицирующее"
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 4+10 мг";"Таблетки для перорального применения"
