"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"Расфасованы по 5 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Флаконы с препаратом упакованы по 5 шт. в картонные коробки вместе с инструкцией по применению."
"МАКСИДИН 0,15 (MAXIDIN 0,15)";"Расфасованы по 5 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками. Флаконы с препаратом упакованы по 5 шт. в картонные коробки вместе с инструкцией по применению."
"АУРИЗОН (AURIZON®) суспензия";"Ауризон расфасован по 10 мл во флаконы, закрытые завинчивающимися пластиковыми крышками. Флаконы упакованы индивидуально в картонные коробки в комплекте с дозирующей канюлей. Каждая упаковка снабжена инструкцией по применению."
"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций";"Расфасован по 20, 50 и 100 мл в стеклянные флаконы соответствующей вместимости, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками с клипсами контроля первого вскрытия. Флаконы упакованы в индивидуальные пачки из картона. Каждая потребительская упаковка снабжена инструкцией по применению."
"СИЛЕО® (SILEO®)";"Расфасован по 3 мл в шприц-дозатор, упакованный в картонную коробку. Каждая потребительская упаковка снабжена инструкцией по применению."
"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций";"Расфасован по 10 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками, снабженными пластиковыми колпачками контроля первого вскрытия. Флаконы упакованы в индивидуальные картонные пачки вместе с инструкцией по применению."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг";"Расфасован по 15 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками, снабженными пластиковыми колпачками контроля первого вскрытия. Флаконы упакованы в индивидуальные картонные пачки вместе с инструкцией по применению."
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг";"Расфасован по 10 мл в стеклянные флаконы, укупоренные резиновыми пробками, укрепленными алюминиевыми колпачками, снабженными пластиковыми колпачками контроля первого вскрытия. Флаконы упакованы в индивидуальные картонные пачки вместе с инструкцией по применению."
"МЕТРИЦЕФ (METRICEFUM) суспензия";"Расфасована по 20 г в шприцы-дозаторы из полимерных материалов."
"ЭРИПРИМ БТ (ERIPRIMUM BT)";"Расфасован по 100 и 500 г в двойные пакеты из полиэтиленовой пленки или пакеты из металлизированной полиэтиленовой пленки."
"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций";"Расфасован по 10 и 100 мл в стеклянную тару."
"МАСТИМАКС (MASTIMAX)";"Расфасована по 8 г в шприцы-дозаторы из полимерных материалов для интрацистернального введения, по 80 г в флаконы стеклянные."
"МАСТИЗИМ (MASTIZINUM)";"Расфасован по 8 г в шприцы из полимерных материалов для интрацистернального введения."
"БЕНСТРЕП (BENSTREP) сусп. д/инъекций";"Расфасована по 100 мл в стеклянные флаконы."
"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций";"Расфасован по 100 мл в стеклянные флаконы."
"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций";"Расфасован по 100 мл в стеклянные флаконы."
"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций";"Расфасован по 100 мл в стеклянные флаконы."
"ОФЛОСТИН (OFLOSTINUM)";"Расфасован по 1000 мл в полимерную тару."
"КЕНОСЕПТ-Г (KENOSEPT-G)";"Расфасовано по 0.15 мл в пластиковые бутылки и канистры вместимостью 1 л и 5 л."
"ТОРНАКС-С (TORNAX-S)";"Расфасовано по 1 л в пластиковые бутылки и канистры из химически устойчивого пластика."
"ЭКО-ДЕЗ (ECO-DES)";"Расфасовано по 1 л в пластиковые бутылки."
"ВИРОЦИД (VIROCID)";"Расфасовано по 0.15 л и 1 л в пластиковые бутылки или по 5 л, 10 л и 20 л в пластиковые канистры, а также по 210 л в металлические бочки.Каждую единицу фасовки маркируют с указанием организации-производителя, ее адреса и товарного знака, названия средства, назначения и способа применения, количества действующих веществ, объема в упаковке, номера серии, даты изготовления, срока годности, условий хранения, мер предосторожности и снабжают инструкцией по применению. Вироцид, расфасованный по 20 л и 210 л, может поставляться в двух комплектациях (""Стандарт"" и ""Премиум""). Комлектация ""Стандарт"" включает только упаковку с дезсредством. Комплектация ""Премиум"" включает упаковку с дезсредством, мерную кружку (дозатор), опрыскиватель, а также тест-полоски для определения точности концентрации рабочего раствора."
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 4+10 мг";"Расфасованы по 2 таблетки в блистеры из алюминиевой фольги, помещенные по 1 или 2 шт. в картонную пачку."
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 16+40 мг";"Расфасованы по 2 таблетки в блистеры из алюминиевой фольги, помещенные по 1 или 2 шт. в картонную пачку."
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 2.5+25 мг";"Расфасованы по 2 таблетки в блистеры из алюминиевой фольги, помещенные по 1 или 2 шт. в картонную пачку."
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 12.5+125 мг";"Расфасованы по 2 таблетки в блистеры из алюминиевой фольги, помещенные по 1 или 2 шт. в картонную пачку."
"АТОПИКА® (ATOPICA®) капсулы 10 мг";"Расфасованы по 5 капсул в блистеры из алюминиевой фольги, помещенные по 3, 6 или 12 шт. в картонные пачки вместе с инструкцией по применению."
"АТОПИКА® (ATOPICA®) капсулы 25 мг";"Расфасованы по 5 капсул в блистеры из алюминиевой фольги, помещенные по 3, 6 или 12 шт. в картонные пачки вместе с инструкцией по применению."
"АТОПИКА® (ATOPICA®) капсулы 50 мг";"Расфасованы по 5 капсул в блистеры из алюминиевой фольги, помещенные по 3, 6 или 12 шт. в картонные пачки вместе с инструкцией по применению."
"АТОПИКА® (ATOPICA®) капсулы 100 мг";"Расфасованы по 5 капсул в блистеры из алюминиевой фольги, помещенные по 3, 6 или 12 шт. в картонные пачки вместе с инструкцией по применению."
"ФИПРИСТ® КОМБО (FYPRYST® COMBO) раствор д/наружного применения: 90 мг, 100 мг";"Расфасован по 0.67 мл (67 мг фипронила + 60.3 мг S-метопрена), 1.34 мл (134 мг фипронила + 120.6 мг S-метопрена), 2.68 мл (268 мг фипронила + 241.2 мг S-метопрена), 4.02 мл (402 мг фипронила + 361.8 мг S-метопрена) в одноразовые пипетки из полипропилена с крышкой с шипом из полиэтилена или полиоксиметилена. Пипетка из полипропилена закрыта пленкой, которую нужно проткнуть шипом. Вторичная упаковка: каждая пипетка упакована в трехслойный пакет, в состав которого входит полиэстер, алюминий и полиэтилен. Картонная коробка содержит 1, 3, 6 или 10 пипеток."
"ИВЕРМЕК OR (IVERMEK OR)";"Расфасован по 500 мл в полимерные бутылки, укупоренные завинчивающимися пластиковыми крышками."
"ЛЕКСОФЛОН® OR (LEXOFLON® OR)";"Расфасован по 100 мл в полимерные флаконы, по 1 л в полимерные бутылки или по 5 л в полимерные канистры соответствующей вместимости. Каждая потребительская упаковка снабжена инструкцией по применению препарата."
"ЦИФЛУНИТ® ФЛОК (CYFLUNIT FLOCK) раствор д/наружного применения";"Расфасован по 500 мл в полимерные флаконы, укупоренные полимерными крышками с контролем первого вскрытия. Флаконы упакованы по 4 шт. в групповые картонные коробки. Каждая потребительская упаковка снабжена инструкцией по применению."
"РИКАЗОЛ® (RICAZOL) раствор д/инъекций";"Расфасован по 100 мл в стеклянные флаконы, закупоренные резиновыми пробками, закатанными алюминиевыми колпачками. Каждая потребительская упаковка снабжена инструкцией по применению."
"ЦЕФТОНИТ® ФОРТЕ (CEFTONIT FORTE) сусп. д/инъекций";"Расфасован по 100 мл в стеклянные флаконы соответствующей вместимости, по 250 мл в стеклянные бутылки, закупоренные резиновыми пробками и закатанные алюминиевыми колпачками. Флаконы с препаратом объемом 100 мл упакованы в индивидуальные пачки из картона. Каждая единица фасовки снабжена инструкцией по применению."
