"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";" 77-3-7.12-0693 № ПВР-3-3.5/01607 от 28.04.12"
"МАКСИДИН 0,15 (MAXIDIN 0,15)";" 77-3-7.12-0694 № ПВР-3-3.5/01539 от 28.04.12"
"АУРИЗОН (AURIZON®) суспензия";"250-3-12.16-3442 № ПВИ-3-3.5/01746 от 18.10.16"
"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций";" 44-3-12.16-3439 № ПВР-3-12.16/03302 от 18.10.16"
"СИЛЕО® (SILEO®)";" № 15747 от 04.07.16"
"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций";" 246-3-2.14-1885 № ПВИ-3-1.3/01346 от 19.03.14"
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг";" 246-3-4.16-3159 № ПВИ-3-4.16/02711 от 29.04.16"
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг";" 246-3-4.16-3159 № ПВИ-3-4.16/02711 от 29.04.16"
"МЕТРИЦЕФ (METRICEFUM) суспензия";"№ 4711-10-14 БА от 12.11.2014"
"ЭРИПРИМ БТ (ERIPRIMUM BT)";"№ 4543-10-14 БА от 03.06.2014"
"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций";"№ 3991-10-12 БА от 29.11.2012"
"МАСТИМАКС (MASTIMAX)";"№ 4245-10-13 БА от 29.07.2013"
"МАСТИЗИМ (MASTIZINUM)";"№ 5457-10-16 БПХ-Ф от 01.08.2016"
"БЕНСТРЕП (BENSTREP) сусп. д/инъекций";"№ 4167-10-13 БА от 18.05.2013"
"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций";"№ 4477-10-14 БПХ-Ф от 03.04.2014"
"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций";"№ 5111-10-15 БА от 13.11.2015"
"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций";"№ 4572-10-14 БПХ-Ф от 10.06.2014"
"ОФЛОСТИН (OFLOSTINUM)";"№ 3889-10-12 БА от 27.07.2012"
"КЕНОСЕПТ-Г (KENOSEPT-G)";"№ RU.77.99.21.002.Е.011495.04.11 от 22.04.2011"
"ТОРНАКС-С (TORNAX-S)";"№ RU.67.СО.01.015.Е.000405.03.11 от 10.03.2011"
"ЭКО-ДЕЗ (ECO-DES)";"№ RU.77.99.01.002.E.004506.12.10 от 28.12.2010"
"ВИРОЦИД (VIROCID)";"№ RU.77.99.01.002.E.031070.08.11 от 08.08.11"
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 4+10 мг";"826-3-13.13-3138 № ПВИ-3-7.7/02353 от 12.04.16"
"МИЛЬБЕМАКС® (MILBEMAX®) для кошек 16+40 мг";"826-3-13.13-3138 № ПВИ-3-7.7/02353 от 12.04.16"
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 2.5+25 мг";"826-3-13.13-3137 № ПВИ-3-7.7/02354 от 12.04.16"
"МИЛЬБЕМАКС® (MILBEMAX®) для собак 12.5+125 мг";"826-3-13.13-3137 № ПВИ-3-7.7/02354 от 12.04.16"
