"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"МИКРО-ПЛЮС ЗАО (Россия)";"ГАМАВЕТФАРМ ООО (Россия)";"МИКРО-ПЛЮС ЗАО (Россия)"
"МАКСИДИН 0,15 (MAXIDIN 0,15)";"МИКРО-ПЛЮС ЗАО (Россия)";"ГАМАВЕТФАРМ ООО (Россия)";"МИКРО-ПЛЮС ЗАО (Россия)"
"АУРИЗОН (AURIZON®) суспензия";"VETOQUINOL S.A. (Франция)";"VETOQUINOL S.A. (Франция)";"ВЕТОКИНОЛ С.А. (Франция)"
"ЛЕКСОФЛОН® (LEXOFLON) раствор д/инъекций";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)";"НИТА-ФАРМ ООО (Россия)"
"СИЛЕО® (SILEO®)";"ORION CORPORATION (Финляндия)";"ORION CORPORATION (Финляндия)";"ОРИОН КОРПОРЕЙШН (Финляндия)"
"АНТИСЕДАН® (ANTISEDAN®) раствор д/инъекций";"ORION CORPORATION (Финляндия)";"ORION CORPORATION (Финляндия)";"ОРИОН КОРПОРЕЙШН (Финляндия)"
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.1 мг";"ORION CORPORATION (Финляндия)";"ORION CORPORATION (Финляндия)";"ОРИОН КОРПОРЕЙШН (Финляндия)"
"ДЕКСДОМИТОР® (DEXDOMITOR) раствор д/инъекций 0.5 мг";"ORION CORPORATION (Финляндия)";"ORION CORPORATION (Финляндия)";"ОРИОН КОРПОРЕЙШН (Финляндия)"
"МЕТРИЦЕФ (METRICEFUM) суспензия";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"ЭРИПРИМ БТ (ERIPRIMUM BT)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"ТРАКСОВЕТ 100 (TRAXOVETUM 100) раствор д/инъекций";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"МАСТИМАКС (MASTIMAX)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"МАСТИЗИМ (MASTIZINUM)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"БЕНСТРЕП (BENSTREP) сусп. д/инъекций";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"ИНФЛАРЕТ (INFLARETUM) раствор д/инъекций";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"ЛИНКОСПЕКТ 150 (LINCOSPECTUM 150) раствор д/инъекций";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
"МУЛЬТИВЕТ (MULTIVET) раствор д/инъекций";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)";"БЕЛЭКОТЕХНИКА ООО (Республика Беларусь)"
