"ч.1 ст.10.6 КоАП РФ";"Нарушение правил карантина животных или других ветеринарно-санитарных правил";"влечет наложение административного штрафа на граждан в размере от пятисот до одной тысячи рублей; на должностных лиц - от трех тысяч до пяти тысяч рублей; на лиц, осуществляющих предпринимательскую деятельность без образования юридического лица, - от трех тысяч до пяти тысяч рублей или административное приостановление деятельности на срок до девяноста суток; на юридических лиц - от десяти тысяч до двадцати тысяч рублей или административное приостановление деятельности на срок до девяноста суток"
"ч.2 ст.10.6 КоАП РФ";"Нарушение правил борьбы с карантинными и особо опасными болезнями животных";"влечет наложение административного штрафа на граждан в размере от одной тысячи до одной тысячи пятисот рублей; на должностных лиц - от пяти тысяч до семи тысяч рублей; на лиц, осуществляющих предпринимательскую деятельность без образования юридического лица, - от пяти тысяч до семи тысяч рублей или административное приостановление деятельности на срок до девяноста суток; на юридических лиц - от девяноста тысяч до ста тысяч рублей или административное приостановление деятельности на срок до девяноста суток"
"ч.1 ст.10.7 КоАП РФ";"Сокрытие от органов государственного ветеринарного надзора сведений о внезапном падеже или об одновременных массовых заболеваниях животных либо несвоевременное извещение указанных органов о внезапном падеже или об одновременных массовых заболеваниях животных, а также несвоевременное принятие либо непринятие мер по локализации этих падежа и заболеваний";"влечет наложение административного штрафа на граждан в размере от трех тысяч до четырех тысяч рублей; на должностных лиц - от тридцати тысяч до сорока тысяч рублей; на юридических лиц - от девяноста тысяч до ста тысяч рублей"
"ч.2 ст.10.7 КоАП РФ";"Сокрытие от органов государственного ветеринарного надзора сведений о внезапном падеже или об одновременных массовых заболеваниях животных либо несвоевременное извещение указанных органов о внезапном падеже или об одновременных массовых заболеваниях животных, а также несвоевременное принятие либо непринятие мер по локализации этих падежа и заболеваний в период осуществления на соответствующей территории ограничительных мероприятий (карантина)";"влечет наложение административного штрафа на граждан в размере от четырех тысяч до пяти тысяч рублей; на должностных лиц - от сорока тысяч до пятидесяти тысяч рублей; на юридических лиц - от ста тысяч до ста пятидесяти тысяч рублей"
"ч.1 ст.10.8 КоАП РФ";"Нарушение ветеринарно-санитарных правил перевозки, перегона или убоя животных либо правил заготовки, переработки, хранения или реализации продуктов животноводства";"влечет наложение административного штрафа на граждан в размере от пятисот до одной тысячи рублей; на должностных лиц - от трех тысяч до пяти тысяч рублей; на юридических лиц - от десяти тысяч до двадцати тысяч рублей"
"ч.8 ст.19.5 КоАП РФ";"Невыполнение в установленный срок законных требований лиц, уполномоченных на осуществление федерального государственного надзора, регионального государственного ветеринарного надзора, об устранении нарушений ветеринарно-санитарных требований и правил, ветеринарных правил";"влечет наложение административного штрафа на граждан в размере от двух тысяч до четырех тысяч рублей; на должностных лиц - от двадцати тысяч до сорока тысяч рублей; на юридических лиц - от двухсот тысяч до пятисот тысяч рублей"
"ч.8.1 ст.19.5 КоАП РФ";"Невыполнение в установленный срок законных требований лиц, уполномоченных на осуществление федерального государственного надзора, регионального государственного ветеринарного надзора, об устранении нарушений ветеринарно-санитарных требований и правил, ветеринарных правил в период осуществления на соответствующей территории ограничительных мероприятий (карантина)";"влекут наложение административного штрафа на граждан в размере от четырех тысяч до пяти тысяч рублей; на должностных лиц - от сорока тысяч до пятидесяти тысяч рублей; на лиц, осуществляющих предпринимательскую деятельность без образования юридического лица, - от сорока тысяч до пятидесяти тысяч рублей или административное приостановление деятельности на срок до девяноста суток; на юридических лиц - от семисот тысяч до одного миллиона рублей или административное приостановление деятельности на срок до девяноста суток"
"ч.5 ст.5.1 КоАП Москвы";"Допущение нападения домашнего животного на другое домашнее животное, повлекшего увечье или гибель последнего";"влечет наложение административного штрафа на граждан или должностных лиц в размере от четырех тысяч до пяти тысяч рублей"
"ч.7 ст.5.1 КоАП Москвы";"Допущение по неосторожности нападения домашнего животного на человека с причинением вреда здоровью человека, если это деяние не содержит признаков преступления, предусмотренного статьей 118 Уголовного кодекса Российской Федерации";"влечет наложение административного штрафа на граждан в размере от четырех тысяч до пяти тысяч рублей; на должностных лиц - от четырех тысяч до десяти тысяч рублей; на юридических лиц - от десяти тысяч до шестидесяти тысяч рублей"
"ч. 3 ст. 10.8 КоАП РФ";" Нарушение ветеринарно-санитарных правил сбора, утилизации и уничтожения биологических отходов";"влечет наложение административного штрафа на граждан в размере от четырех тысяч до пяти тысяч рублей; на должностных лиц - от двадцати тысяч до сорока тысяч рублей; на лиц, осуществляющих предпринимательскую деятельность без образования юридического лица, - от сорока тысяч до пятидесяти тысяч рублей или административное приостановление деятельности на срок до девяноста суток; на юридических лиц - от пятисот тысяч до семисот тысяч рублей или административное приостановление деятельности на срок до девяноста суток."
