species.name;breeds.name (NOT NULL)
Грызуны;Барабинский хомяк (Cricetulus barabensis)
Грызуны;Джунгарский хомяк (Phodopus sungorus)
Грызуны;Длиннохвостый хомяк (Cricetulus longicaudatus)
Грызуны;Другая
Грызуны;Канский хомяк (Cansumys canus)
Грызуны;Китайский хомяк (Cricetulus griseus)
Грызуны;Короткохвостый хомяк (Cricetulus alticola)
Грызуны;Крысовидный хомяк (Tscherskia triton)
Грызуны;Монгольский хомяк (Allocricetulus curtatus)
Грызуны;Морская свинка (Cavia porcellus)
Грызуны;Морская свинка (Абиссинская)
Грызуны;Морская свинка (Альпака)
Грызуны;Морская свинка (Американский крестед)
Грызуны;Морская свинка (Американский Тедди)
Грызуны;Морская свинка (Английский крестед)
Грызуны;Морская свинка (Английский цветной крестед)
Грызуны;Морская свинка (Болдуин)
Грызуны;Морская свинка (Гималайцы)
Грызуны;Морская свинка (Двухцветные)
Грызуны;Морская свинка (Кёрли)
Грызуны;Морская свинка (Коронет)
Грызуны;Морская свинка (Куи)
Грызуны;Морская свинка (Мерино)
Грызуны;Морская свинка (Мини-як)
Грызуны;Морская свинка (Перуанская)
Грызуны;Морская свинка (Рекс)
Грызуны;Морская свинка (Риджбек)
Грызуны;Морская свинка (Сатиновая гладкошерстная)
Грызуны;Морская свинка (Селф)
Грызуны;Морская свинка (Скинни)
Грызуны;Морская свинка (Тексель)
Грызуны;Морская свинка (Трёхцветные)
Грызуны;Морская свинка (Чалые)
Грызуны;Морская свинка (Черепаховая с белым)
Грызуны;Морская свинка (Швейцарский тедди)
Грызуны;Морская свинка (Шелти)
Грызуны;Обыкновенный хомяк (Cricetus cricetus)
Грызуны;Серый хомяк (Cricetulus migratorius)
Грызуны;Сирийский хомяк (Mesocricetus auratus)
Грызуны;Тибетский хомяк (Cricetulus kamensis)
Грызуны;Хомяк (Cricetinae)
Грызуны;Хомяк Брандта (Mesocricetus brandti)
Грызуны;Хомяк золотистый, бежевый, кремовый (Cricetinae)
Грызуны;Хомяк золотистый, длинношерстный, ангорский (Cricetinae)
Грызуны;Хомяк золотистый, обыкновенный (Cricetinae)
Грызуны;Хомяк Кэмпбелла (Phodopus campbelli)
