Текущий вид;Текущая порода;Новый вид;Новая порода;Комментарий;;
белка;*;Грызуны;Белка (Sciurus);;;
белка летяга;*;Грызуны;Обыкновенная летяга (Pteromys volans);;;
голуби;армавирский белоголовый космач;Птицы;Армавирский белоголовый космач (голуби);нет пород голубей в AnimalID, ляжет к AnimalID в конфликты;;
голуби;*;Птицы;Голуби;;;
гуси;*;Птицы;Гуси;;;
дегу;*;Грызуны;Дегу, кустарниковая белка (Octodon degus);;;
енот;*;Хищные;Енот-полоскун (Procyon lotor) ;;;
иные животные;другая;Иные животные;Другая;Нет обмена с AnimalID;;
иные животные;;Иные животные;;Нет обмена с AnimalID;;
козы;;Козы;;;;
кошки;абиссинская;Кошки;Абиссинская короткошерстная;;;
кошки;американская жесткошерстная;Кошки;Американская жесткошерстная;;;
кошки;американская короткошерстная;Кошки;Американская короткошерстная;;;
кошки;американский бобтейл;Кошки;Американский бобтейл длинношерстный;;;
кошки;американский кёрл;Кошки;Американский кёрл длинношерстный;;;
кошки;ангорская;Кошки;Ангора британская;;;
кошки;балинезийская;Кошки;Балинезийская;;;
кошки;бенгальская;Кошки;Бенгальская короткошерстная (Бенгал);;;
кошки;беспородная;Кошки;Беспородная;нет в справочнике AnimalID;;
кошки;бирма;Кошки;Бирманская (Священная Бирма);;;
кошки;бирманская пятнисто-краповая;Кошки;Бирманская (Священная Бирма);;;
кошки;бомбейская;Кошки;Бомбей;;;
кошки;британская голубая;Кошки;Британская голубая;;;
кошки;британская короткошерстная;Кошки;Британская короткошерстная;;;
кошки;бурма;Кошки;Бурманская;;;
кошки;бурмилла;Кошки;Бурмилла;;;
кошки;гаванна;Кошки;Гавана браун;;;
кошки;герман рекс;Кошки;Герман-рекс;;;
кошки;девон рекс;Кошки;Девон-рекс;;;
кошки;домашняя;Кошки; Домашние кошки;;;
кошки;донский сфинкс;Кошки;Донской сфинкс;;;
кошки;другая;Кошки; Другая;;;
кошки;европейская короткошерстная;Кошки;Европейская короткошерстная;;;
кошки;египетская мау;Кошки;Египетский мау;;;
кошки;канадский сфинкс;Кошки;Канадский сфинкс ;;;
кошки;кимрик;Кошки;Кимрик (длинношерстный манкс);;;
кошки;корат;Кошки;Корат;;;
кошки;корниш-рекс;Кошки;Корниш-рекс;;;
кошки;курильский бобтейл;Кошки;Курильский бобтейл длинношерстный;;;
кошки;манкс;Кошки;Манкс (Мэнская бесхвостая);;;
кошки;манчкин;Кошки;Манчкин длинношерстный;;;
кошки;мейн кун;Кошки;Мэйн-Кун (Мэнская енотовая);;;
кошки;меконгский бобтейл;Кошки;Макегонский бобтейл;;;
кошки;мексиканская;Кошки;Мексиканская;нет в справочнике AnimalID;;
кошки;метис;Кошки;Метис;;;
кошки;мингонский бобтейл;Кошки;Меконг;;;
кошки;мэйн кун;Кошки;Мэйн-Кун (Мэнская енотовая);;;
кошки;невская маскарадная;Кошки;Невская маскарадная;;;
кошки;норвежская лесная дымчато-голубая;Кошки;Норвежская лесная (Ског кэт);;;
кошки;ориенталская короткошерстная;Кошки;Ориентальная длинношерстная;;;
кошки;ориентальская длинношерстная;Кошки;Ориентальная короткошерстная;;;
кошки;охос азулес;Кошки;Охос Азулес;;;
кошки;оцикет;Кошки;Оцикет;;;
кошки;персидская;Кошки;Персидская;;;
кошки;пиксибоб;Кошки;Пикси-боб;;;
кошки;русская голубая;Кошки;Русская голубая;;;
кошки;рэгдол;Кошки;Рэгдолл (Тряпичная кукла);;;
кошки;селкирк-рекс;Кошки;Селкирк рекс;;;
