ID;NameClinic;AdmArea;District;Address;AssignedRegistrationNumberCertificate;ValidityCertificate;Comments;global_id
1;ООО «Ветеринарная клиника»;Юго-Западный административный округ;район Зюзино;город Москва, Болотниковская улица, дом 53, корпус 3;77-10-461;19.01.2040;;903868950
2;Ветеринарный центр «МЕДВЕТ на Ленинском»;Юго-Западный административный округ;район Тёплый Стан;город Москва, Ленинский проспект, дом 123;77-10-199;28.03.2040;;903869042
3;ООО «Центр здоровья животных»;Северо-Восточный административный округ;район Южное Медведково;город Москва, проезд Дежнёва, дом 19, корпус 1;77-05-212;29.06.2040;;903869044
5;ООО «ВЕГА»;Юго-Западный административный округ;район Черёмушки;город Москва, Новочерёмушкинская улица, дом 66, корпус 1;77-10-220;01.01.2040;;903869046
6;ООО «Беланта»;Новомосковский административный округ;поселение Щербинка;город Москва, город Щербинка, Спортивная улица, дом 12А;77-11-221;28.05.2027;;903869047
8;ООО «АВАНТАЖ»;Центральный административный округ;район Замоскворечье;город Москва, Климентовский переулок, дом 12, строение 14;77-07-230;18.12.2022;;903869052
10;ООО «ГаВ»;Западный административный округ;район Солнцево;город Москва, улица Главмосстроя, дом 10;77-03-480;01.01.2040;;903869431
11;ООО «ВЕГА»;Северный административный округ;район Ховрино;город Москва, Петрозаводская улица, дом 15, корпус 5;77-04-330;17.05.2040;;903869434
12;ИП Лебедева М.О.;Троицкий административный округ;поселение Троицк;Российская Федерация, город Москва, городской округ Троицк, город Троицк, Комсомольский проезд, дом 2Б;77-12-445;20.12.2040;;903869437
13;ООО «Шанс Био»;Южный административный округ;Нагорный район;город Москва, Электролитный проезд, дом 3, строение 12;77-08-236;07.02.2023;;903869439
14;ООО «Лимарта»;Южный административный округ;район Бирюлёво Восточное;город Москва, Ряжская улица, дом 13, корпус 1;77-08-241;14.03.2040;;903869441
15;ООО «Служба ветеринарной помощи № 1»;Новомосковский административный округ;поселение Сосенское;город Москва, поселение Сосенское, посёлок Коммунарка, Лазурная улица, дом 7;77-12-261;25.07.2041;;903869445
16;ООО «Юнивет»;Новомосковский административный округ;поселение Сосенское;город Москва, поселение Сосенское, деревня Сосенки, Ясеневая улица, дом 5, корпус 2;77-12-265;06.12.2040;;903869447
17;ООО «ВЕТГРАД»;Новомосковский административный округ;поселение Московский;город Москва, город Московский, Радужная улица, дом 10;77-12-269;12.03.2040;;903869451
18;ООО «Клиник Про» Умка;Северо-Восточный административный округ;Бутырский район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Бутырский, улица Руставели, дом 1/2;77-05-358;29.11.2040;;903871181
20;Центр экстренной ветеринарной медицины «БЕМБИ»;Юго-Западный административный округ;район Черёмушки;город Москва, улица Цюрупы, дом 3;77-10-067;08.06.2040;;903871197
21;ООО «Надежда и Компания»;Юго-Западный административный округ;район Ясенево;город Москва, Вильнюсская улица, дом 5;77-10-224;29.10.2040;;903871200
22;«ВЕТСТЭЙТ»;Юго-Западный административный округ;Академический район;город Москва, Новочерёмушкинская улица, дом 16;77-10-244;13.02.2041;;903871201
23;Ласка ВЦ;Юго-Западный административный округ;Обручевский район;город Москва, улица Новаторов, дом 16, корпус 1;77- 10-134;02.06.2021;;903871202
24;Прод К;Юго-Западный административный округ;район Ясенево;город Москва, Новоясеневский проспект, дом 38, корпус 1;77-10-285;02.09.2041;;903871214
25;Близнецы – А;Юго-Западный административный округ;район Северное Бутово;город Москва, улица Грина, дом 22А;77-10-013;08.03.2040;;903871250
26;ВЕТЗдоровье;Юго-Западный административный округ;район Тёплый Стан;город Москва, Ленинский проспект, дом 123;77- 10-199;27.04.2040;;903871351
27;Доктор Хвост;Юго-Западный административный округ;район Тёплый Стан;город Москва, Профсоюзная улица, дом 144;77-10-283;06.08.2040;;903871352
28;ЗООСИТИ;Юго-Западный административный округ;Ломоносовский район;город Москва, улица Гарибальди, дом 4Г;77- 10-159;18.10.2040;;903871353
29;Центр ветеринарной инновационной медицины РУДН;Юго-Западный административный округ;Обручевский район;город Москва, улица Миклухо-Маклая, дом 8, корпус 2;77-10-474;01.01.2040;;903871354
30;Центр экстренной ветеринарной медицины «БЕМБИ-ВЕТ»;Юго-Западный административный округ;район Ясенево;город Москва, Тарусская улица, дом 22, корпус 2;77- 10-217;23.08.2040;;903871355
31;Мир Милли;Юго-Западный административный округ;район Зюзино;город Москва, Болотниковская улица, дом 23;77-10-318;07.07.2044;;903871356
32;Ветеринарная клиника «Алисавет»;Юго-Западный административный округ;район Южное Бутово;город Москва, аллея Витте, дом 2;77- 10-218;29.08.2040;;903871358
33;Ветеринарная лаборатория медикобиологического центра «Пастер»;Юго-Западный административный округ;Академический район;город Москва, Большая Черёмушкинская улица, дом 28, строение 6;77-10-420;22.11.2022;;903871361
34;Лебен;Юго-Западный административный округ;район Котловка;город Москва, Нагорный бульвар, дом 9;77- 10-123;19.12.2040;;903871363
35;03 Вет;Западный административный округ;район Тропарёво-Никулино;город Москва, Ленинский проспект, дом 150;77-10-040;04.12.2040;;903871364
36;Клиника ветеринарной медицины «Юниор»;Юго-Западный административный округ;район Ясенево;город Москва, Литовский бульвар, дом 7;77-10-002;18.07.2040;;903871366
37;ООО «БЕЛАЯ МЕДВЕДИЦА»;Юго-Западный административный округ;район Южное Бутово;город Москва, Южнобутовская улица, дом 117;77-10-277;16.09.2042;;903871368
38;Ветеринарная клиника «Био-вет»;Юго-Западный административный округ;Обручевский район;город Москва, улица Воронцовские Пруды, дом 3;77-10-398;20.01.2040;;903871371
39;Паллада;Юго-Западный административный округ;район Тёплый Стан;город Москва, улица Академика Виноградова, дом 4, корпус 2;77-10-065;26.12.2039;;903871372
40;АО «Медико-биологический центр «ПАСТЕР»;Северный административный округ;район Коптево;город Москва, Большая Академическая улица, дом 28;77-10-420;22.11.2022;;903871374
41;ВетЛекарь;Юго-Западный административный округ;район Южное Бутово;город Москва, Южнобутовская улица, дом 53;77-10-256;28.08.2040;;903871377
42;Артемон;Зеленоградский административный округ;район Матушкино;город Москва, город Зеленоград, Панфиловский проспект, дом 10;77-02-044;11.04.2047;;903871378
43;Фунтик-Вет;Зеленоградский административный округ;район Савёлки;город Москва, город Зеленоград, корпус 330;77-02-300;18.10.2040;;903871640
45;Свой Доктор;Юго-Восточный административный округ;район Печатники;город Москва, улица Гурьянова, дом 67;77-09-227;01.01.2040;;903871642
46;ООО «Мобидок»;Юго-Восточный административный округ;Нижегородский район;город Москва, 2-я Карачаровская улица, дом 6/16;77-09-341;01.01.2040;;903871643
49;Валента;Юго-Восточный административный округ;район Люблино;город Москва, Краснодарская улица, дом 57, корпус 1;77-09-311;17.04.2042;;903871646
