diseases.name (NOT NULL);diseases.flag_danger (boolean, default false);используется в функционале карантина;используется в функционале вакцин;
Акарапидоз пчел;false;true;false;
Алеутская болезнь норок;false;true;false;
Американский гнилец пчел;false;true;false;
Африканская чума свиней;true;true;false;
Африканская чума лошадей;false;true;false;
Аэромонозы лососевых и карповых рыб;false;true;false;
Бешенство;true;true;true;
Блутанг;true;true;false;
Болезнь Ауески;false;true;false;
Болезнь Марека;false;true;false;
Болезнь Ньюкасла;false;true;false;
Ботриоцефалез карповых рыб;false;true;false;
Брадзот;false;true;false;
Бранхиомикоз карповых лососевых, сиговых рыб;false;true;false;
Бруцеллез (включая инфекционный эпидидимит баранов);false;true;false;
Варроатоз;false;true;false;
Весенняя виремия карпов;false;true;false;
Вирусная геморрагическая болезнь кроликов;false;true;false;
Вирусная геморрагическая септицемия лососевых рыб;false;true;false;
Вирусный артериит лошадей;false;true;false;
Вирусный гепатит уток;false;true;false;
Вирусный паралич пчел;false;true;false;
Вирусный энтерит гусей;false;true;false;
Вирусный энтерит норок;false;true;false;
Воспаление плавательного пузыря карповых рыб;false;true;false;
Высокопатогенный грипп птиц;true;true;false;
Гиподерматоз крупного рогатого скота;false;true;false;
Грипп лошадей;false;true;false;
Губкообразная энцефалопатия крупного рогатого скота;false;true;false;
Европейский гнилец пчел;false;true;false;
Злокачественная катаральная горячка крупного рогатого скота;false;true;false;
Заразный узелковый дерматит крупного рогатого скота;false;true;false;
Инфекционная агалактия;false;true;false;
Инфекционная анемия лошадей (ИНАН);false;true;false;
Инфекционный бронхит кур;false;true;false;
Инфекционный бурсит (Болезнь Гамборо);false;true;false;
Инфекционный ларинготрахеит кур;false;true;false;
Инфекционный некроз гемопоэтической ткани лососевых рыб;false;true;false;
Инфекционный некроз поджелудочной железы лососевых рыб;false;true;false;
Инфекционная анемия лососевых рыб;false;true;false;
Инфекционный ринотрахеит (ИРТ);false;true;false;
Кампилобактериоз;false;true;false;
Классическая чума свиней;false;true;false;
Лейкоз крупного рогатого скота;false;true;false;
Лептоспироз;false;true;true;В списке опасных заболеваний для карантина лептоспироза нет, но раньше говорили, что по н6им надо отслеживать вакцинации и оно якобы опасное..
Листериоз;false;true;false;
Лихорадка Ку;false;true;false;
Мешотчатый расплод;false;true;false;
Миксобактериозы лососевых и осетровых рыб;false;true;false;
Миксоматоз;false;true;false;
Некробактериоз;false;true;false;
Нозематоз;false;true;false;
Оспа овец и коз;true;true;false;
Парагрипп-3;false;true;false;
Паратуберкулез;false;true;false;
Пастереллез разных видов;false;true;false;
Псевдомоноз;false;true;false;
Репродуктивно-респираторный синдром свиней (РРСС);false;true;false;
Ринопневмония лошадей;false;true;false;
Рожа свиней;false;true;false;
Сальмонеллезы (включая тиф-пуллороз);false;true;false;
Сап;true;true;false;
Сибирская язва;true;true;false;
Синдром снижения яйценоскости (ССЯ-76);false;true;false;
Скрепи овец и коз;false;true;false;
Случная болезнь лошадей (трипаносомоз);false;true;false;
Трансмиссивный гастроэнтерит свиней;false;true;false;
Трихинеллез;false;true;false;
Туберкулез;false;true;false;
Филометроидоз карповых рыб;false;true;false;
Хламидиозы;false;true;true;
Хламидиоз (энзоотический аборт овец);false;true;false;
Чума крупного рогатого скота;true;true;false;
Чума мелких жвачных животных;false;true;false;
Чума плотоядных;false;true;true;
Эмфизематозный карбункул (эмкар);false;true;false;
Энтеровирусный энцефаломиелит свиней (болезнь Тешена);false;true;false;
Энтеротоксемия;false;true;false;
Энцефаломиелиты лошадей;false;true;false;
Ящур;true;true;false;
Аденовирусная инфекция;false;false;true;
Бабезиоз (пироплазмоз);false;false;true;
Бордетеллез;false;false;true;
Дерматофитоз;false;false;true;
Калицивироз;false;false;true;
Микроспория;false;false;true;
Панлейкопения;false;false;true;
Трихотифия;false;false;true;
Вирусный ринотрахеит;false;false;true;
Инфекционный гепатит;false;false;true;
Коронавирусный энтерит;false;false;true;
Парагрипп;false;false;true;
Парвовирусный энтерит;false;false;true;
