Текущий вид;Текущая порода;Новый вид;Новая порода;id_species;id_breed;
голуби;армавирский белоголовый космач;Птицы;Армавирский белоголовый космач (голуби);2;1;
иные животные;другая;Иные животные;Другая;36;1162;
иные животные;;Иные животные;;36;;
кошки;абиссинская;Кошки;Абиссинская короткошерстная;9;95;
кошки;американская жесткошерстная;Кошки;Американская жесткошерстная;9;138;
кошки;американская короткошерстная;Кошки;Американская короткошерстная;9;137;
кошки;американский бобтейл;Кошки;Американский бобтейл длинношерстный;9;113;
кошки;американский кёрл;Кошки;Американский кёрл длинношерстный;9;136;
кошки;ангорская;Кошки;Ангора британская;9;94;
кошки;балинезийская;Кошки;Балинезийская;9;114;
кошки;бенгальская;Кошки;Бенгальская короткошерстная (Бенгал);9;144;
кошки;беспородная;Кошки;Беспородная;9;146;
кошки;бирма;Кошки;Бирманская (Священная Бирма);9;131;
кошки;бирманская пятнисто-краповая;Кошки;Бирманская (Священная Бирма);9;105;
кошки;бомбейская;Кошки;Бомбей;9;116;
кошки;британская голубая;Кошки;Британская голубая;9;109;
кошки;британская короткошерстная;Кошки;Британская короткошерстная;9;117;
кошки;бурма;Кошки;Бурманская;9;97;
кошки;бурмилла;Кошки;Бурмилла;9;118;
кошки;гаванна;Кошки;Гавана браун;9;124;
кошки;герман рекс;Кошки;Герман-рекс;9;122;
кошки;девон рекс;Кошки;Девон-рекс;9;99;
кошки;домашняя;Кошки; Домашние кошки;9;150;
кошки;донский сфинкс;Кошки;Донской сфинкс;9;145;
кошки;другая;Кошки; Другая;9;1044;
кошки;европейская короткошерстная;Кошки;Европейская короткошерстная;9;101;
кошки;египетская мау;Кошки;Египетский мау;9;96;
кошки;канадский сфинкс;Кошки;Канадский сфинкс ;9;133;
кошки;кимрик;Кошки;Кимрик (длинношерстный манкс);9;121;
кошки;корат;Кошки;Корат;9;127;
кошки;корниш-рекс;Кошки;Корниш-рекс;9;120;
кошки;курильский бобтейл;Кошки;Курильский бобтейл длинношерстный;9;148;
кошки;манкс;Кошки;Манкс (Мэнская бесхвостая);9;107;
кошки;манчкин;Кошки;Манчкин длинношерстный;9;128;
кошки;мейн кун;Кошки;Мэйн-Кун (Мэнская енотовая);9;152;
кошки;меконгский бобтейл;Кошки;Макегонский бобтейл;9;156;
кошки;мексиканская;Кошки;Мексиканская;9;106;
кошки;метис;Кошки;Метис;9;111;
кошки;мингонский бобтейл;Кошки;Меконг;9;147;
кошки;мэйн кун;Кошки;Мэйн-Кун (Мэнская енотовая);9;135;
кошки;невская маскарадная;Кошки;Невская маскарадная;9;154;
кошки;норвежская лесная дымчато-голубая;Кошки;Норвежская лесная (Ског кэт);9;103;
кошки;ориенталская короткошерстная;Кошки;Ориентальная длинношерстная;9;126;
кошки;ориентальская длинношерстная;Кошки;Ориентальная короткошерстная;9;125;
кошки;охос азулес;Кошки;Охос Азулес;9;143;
кошки;оцикет;Кошки;Оцикет;9;129;
кошки;персидская;Кошки;Персидская;9;93;
кошки;пиксибоб;Кошки;Пикси-боб;9;157;
кошки;русская голубая;Кошки;Русская голубая;9;110;
кошки;рэгдол;Кошки;Рэгдолл (Тряпичная кукла);9;130;
кошки;селкирк-рекс;Кошки;Селкирк рекс;9;140;
кошки;сиамская;Кошки;Сиамская короткошерстная;9;92;
кошки;сибирская;Кошки;Сибирская;9;112;
кошки;сингапура;Кошки;Сингапура;9;98;
кошки;скоттиш страйт;Кошки;Скоттиш-страйт (с обычными ушами);9;151;
кошки;скоттиш фолд;Кошки;Скоттиш-Фолд длинношерстный;9;153;
кошки;сноу-шу;Кошки;Сноу-Шу;9;141;
кошки;сомали;Кошки;Сомали;9;132;
кошки;сфинкс;Кошки;Донской сфинкс;9;104;
кошки;тайская;Кошки;Тайская кошка;9;149;
кошки;тифани;Кошки;Тиффани (Бурма длинношерстная);9;100;
кошки;тонкинез;Кошки;Тонкинез Tonkinese;9;142;
кошки;турецкий ван;Кошки;Турецкий ван;9;134;
кошки;цейлонская;Кошки;Цейлон;9;119;
кошки;шартрез;Кошки;Шартрез;9;102;
кошки;шиншилла;Кошки;Шиншилла;9;155;
кошки;шотландская вислоухая;Кошки;Шотландская вислоухая длинношерстная;9;108;
кошки;экзотическая короткошерстная;Кошки;Экзотическая короткошерстная;9;123;
кошки;японский бобтейл;Кошки;Японский бобтейл длинношерстный;9;115;
кошки;;Кошки;;9;;
кролики;американский;Кролики;Американский;10;159;
кролики;английский баран;Кролики;Баран английский;10;160;
кролики;ангорский;Кролики;Ангорский кролик;10;162;
кролики;бургундский;Кролики;Бургундский кролик;10;170;
кролики;венский белый;Кролики;Венский белый кролик;10;171;
кролики;венский серый;Кролики;Венский кролик;10;174;
