vaccines.name (NOT NULL);vaccines.registered (зарегистрировано) (NOT NULL);vaccines.prodused (произведено) (NOT NULL);vaccines.dealer (представительство);vaccines.form_description;vaccines.packing
Вакдерм - F (Кошки);"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";Представляет собой однородную взвесь розового цвета.;Выпускают во флаконах по 1 мл.
Вакдерм - F (Кошки, Собаки, Кролики, Хищные, Грызуны);"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";Представляет собой однородную взвесь розового цвета.;Выпускают во флаконах по 1 мл.
Вангард 7;ЗоЭтис (Zoetis) (США);ЗоЭтис (Zoetis) (США);ЗоЭтис (Zoetis) (США);Состоит из двух компонентных систем: первая Вангард DA2Pi – представляет собой лиофильно высушенную пористую массу бежевого цвета- вторая Вангард CPV-L – представляет собой гомогенную бесцветную опалесцирующую жидкость, изготовленную из лептоспир и аттенуированного парвовируса собак  до 1 мл.;Каждую компонентную систему вакцины Вангард 7 расфасовывают по 1 дозе в стеклянных флаконах.
Вангард Плюс 5 L4 CV;ЗоЭтис (Zoetis) (США);ЗоЭтис (Zoetis) (США);ЗоЭтис (Zoetis) (США);Вакцина состоит из двух компонентов: сухой компонент представляет собой однородную лиофильно высушенную пористую массу желто-белого цвета, жидкий – гомогенную взвесь светло-розового цвета.;Компоненты вакцины расфасованы по 1 дозе в стерильные стеклянные или пластиковые флаконы.
Гексаканивак;"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";Вакцина состоит из жидкого компонента расфасованной в ампулы по одной дозе (2, 2 мл), представляющей собой гомогенную суспензию розового цвета и сухого компонента расфасованного в ампулы по одной дозе, представляющей собой сухую пористую массу светло-желтого цвета с розовым оттенком.;
Дефенсор 3;ЗоЭтис (Zoetis) (США);ЗоЭтис (Zoetis) (США);ЗоЭтис (Zoetis) (США);Представляет собой прозрачную или слегка опалесцирующую жидкость розового цвета.;Флакон 1 мл (1 доза).
Дипентавак;"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";"ООО ""Ветзвероцентр""";Вакцина состоит из 2 компонентов. Жидкой инактивированной вакцины Пентавак, используемой в качестве растворителя, фасуют в ампулы по 2, 2 мл (1 доза). Сухой Дивак, фасуют в ампулы, заполненные инертным газом.;
Каниген DHA2PPi / L;"""Virbac S.A.""";"""Virbac S.A.""";"""Virbac S.A.""";Вакцина выпускается в сухом (для приготовления раствора) и жидком (раствор для инъекций) виде. Сухая вакцина представляет собой пористую массу. Одна доза вакцины составляет 1 см3.;
Микродерм;Аптека-Сервис ООО  (Россия);Аптека-Сервис ООО  (Россия);Аптека-Сервис ООО  (Россия);Вакцина выпускается в сухом (для приготовления раствора) и жидком (раствор для инъекций) виде. Сухая вакцина представляет собой пористую массу, серовато-желтого цвета. Одна доза вакцины составляет 1 см3.;
Мультикан 4;Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Ветбиохим ООО (Россия);Представляет собой сухую пористую массу желтовато-розового цвета, хорошо растворимую в дистилированной воде.;Выпускают во флаконах или ампулах вместимостью 5-20 мл. В каждом флаконе (ампуле) содержится одна доза вакцины. Для растворения вакцины прилагается стерильная дистилированная вода в ампулах (флаконах) в объеме 2 мл.
